accession	description
"GCA_002442995.2"	"ASM244299v2 assembly for Shigella flexneri 1c"
"GCA_002442995.1"	"ASM244299v1 assembly for Shigella flexneri 1c"
"GCA_949769295.1"	"PHANIE assembly for Acinetobacter phage Phanie"
"GCA_963856155.1"	"NODE_1_length_166871_cov_344.137288 assembly for Escherichia phage AUBRB02"
"GCA_008370775.1"	"ASM837077v1 assembly for Shigella flexneri Y"
"GCA_014679325.1"	"ASM1467932v1 assembly for Escherichia coli"
"GCA_016888305.1"	"ASM1688830v1 assembly for Streptococcus dysgalactiae subsp. equisimilis"
"GCA_016888325.1"	"ASM1688832v1 assembly for Streptococcus dysgalactiae subsp. equisimilis"
"GCA_016888365.1"	"ASM1688836v1 assembly for Streptococcus dysgalactiae subsp. equisimilis"
"GCA_016888375.1"	"ASM1688837v1 assembly for Streptococcus dysgalactiae subsp. equisimilis"
"GCA_027854375.1"	"ASM2785437v1 assembly for Staphylococcus aureus"
"GCA_027854385.1"	"ASM2785438v1 assembly for Staphylococcus aureus"
"GCA_027854435.1"	"ASM2785443v1 assembly for Staphylococcus aureus"
"GCA_900149655.1"	"LeviOr01 assembly for ssRNA phage LeviOr01"
"GCA_900156925.2"	"BTP1_v2 assembly for Lederbergvirus BTP1"
"GCA_900156925.1"	"BTP1 assembly for Salmonella virus BTP1"
"GCA_913082365.1"	"Staphylococcus_epidermidis_S414 assembly for Staphylococcus epidermidis"
"GCA_021870245.1"	"ASM2187024v1 assembly for Vibrio phage HNL01"
"GCA_016772615.1"	"ASM1677261v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium str. SARA13"
"GCA_016772635.1"	"ASM1677263v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016772645.1"	"ASM1677264v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016772675.1"	"ASM1677267v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016772695.1"	"ASM1677269v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016773415.1"	"ASM1677341v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_021090785.1"	"ASM2109078v1 assembly for Staphylococcus phage PG-2021_29"
"GCA_021090795.1"	"ASM2109079v1 assembly for Staphylococcus phage PG-2021_2"
"GCA_021090805.1"	"ASM2109080v1 assembly for Staphylococcus phage PG-2021_31"
"GCA_021090815.1"	"ASM2109081v1 assembly for Staphylococcus phage PG-2021_33"
"GCA_021090865.1"	"ASM2109086v1 assembly for Staphylococcus phage PG-2021_43"
"GCA_021090875.1"	"ASM2109087v1 assembly for Staphylococcus phage PG-2021_46"
"GCA_021090885.1"	"ASM2109088v1 assembly for Staphylococcus phage PG-2021_47"
"GCA_021090895.1"	"ASM2109089v1 assembly for Staphylococcus phage PG-2021_4"
"GCA_021090905.1"	"ASM2109090v1 assembly for Staphylococcus phage PG-2021_5"
"GCA_021090915.1"	"ASM2109091v1 assembly for Staphylococcus phage PG-2021_64"
"GCA_021090925.1"	"ASM2109092v1 assembly for Staphylococcus phage PG-2021_67"
"GCA_021091005.1"	"ASM2109100v1 assembly for Staphylococcus phage PG-2021_89"
"GCA_021091025.1"	"ASM2109102v1 assembly for Staphylococcus phage PG-2021_90"
"GCA_021091055.1"	"ASM2109105v1 assembly for Staphylococcus phage PG-2021_9"
"GCA_021090745.1"	"ASM2109074v1 assembly for Staphylococcus phage PG-2021_1"
"GCA_021090755.1"	"ASM2109075v1 assembly for Staphylococcus phage PG-2021_22"
"GCA_021090765.1"	"ASM2109076v1 assembly for Staphylococcus phage PG-2021_23"
"GCA_021090775.1"	"ASM2109077v1 assembly for Staphylococcus phage PG-2021_27"
"GCA_005524035.1"	"ASM552403v1 assembly for viral metagenome"
"GCA_938151785.1"	"Assembly 2 assembly for Escherichia phage vB_EcoM_KMB26"
"GCA_021090825.1"	"ASM2109082v1 assembly for Staphylococcus phage PG-2021_35"
"GCA_021090835.1"	"ASM2109083v1 assembly for Staphylococcus phage PG-2021_38"
"GCA_021090845.1"	"ASM2109084v1 assembly for Staphylococcus phage PG-2021_40"
"GCA_021090855.1"	"ASM2109085v1 assembly for Staphylococcus phage PG-2021_41"
"GCA_021090935.1"	"ASM2109093v1 assembly for Staphylococcus phage PG-2021_68"
"GCA_021090945.1"	"ASM2109094v1 assembly for Staphylococcus phage PG-2021_74"
"GCA_021090955.1"	"ASM2109095v1 assembly for Staphylococcus phage PG-2021_76"
"GCA_021090965.1"	"ASM2109096v1 assembly for Staphylococcus phage PG-2021_84"
"GCA_021090975.1"	"ASM2109097v1 assembly for Staphylococcus phage PG-2021_86"
"GCA_021090985.1"	"ASM2109098v1 assembly for Staphylococcus phage PG-2021_87"
"GCA_021090995.1"	"ASM2109099v1 assembly for Staphylococcus phage PG-2021_88"
"GCA_021091015.1"	"ASM2109101v1 assembly for Staphylococcus phage PG-2021_8"
"GCA_021091035.1"	"ASM2109103v1 assembly for Staphylococcus phage PG-2021_91"
"GCA_021091045.1"	"ASM2109104v1 assembly for Staphylococcus phage PG-2021_93"
"GCA_016772705.1"	"ASM1677270v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016772735.1"	"ASM1677273v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016772755.1"	"ASM1677275v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016772775.1"	"ASM1677277v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016772795.1"	"ASM1677279v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016772815.1"	"ASM1677281v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016772835.1"	"ASM1677283v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016772895.1"	"ASM1677289v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016773255.1"	"ASM1677325v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016773265.1"	"ASM1677326v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016773285.1"	"ASM1677328v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016773305.1"	"ASM1677330v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016773315.1"	"ASM1677331v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016773355.1"	"ASM1677335v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_016773385.1"	"ASM1677338v1 assembly for Salmonella enterica subsp. enterica serovar Typhimurium"
"GCA_021090665.1"	"ASM2109066v1 assembly for Staphylococcus phage PG-2021_10"
"GCA_021090675.1"	"ASM2109067v1 assembly for Staphylococcus phage PG-2021_12"
"GCA_021090685.1"	"ASM2109068v1 assembly for Staphylococcus phage PG-2021_14"
"GCA_021090695.1"	"ASM2109069v1 assembly for Staphylococcus phage PG-2021_15"
"GCA_021090705.1"	"ASM2109070v1 assembly for Staphylococcus phage PG-2021_16"
"GCA_021090715.1"	"ASM2109071v1 assembly for Staphylococcus phage PG-2021_17"
"GCA_021090725.1"	"ASM2109072v1 assembly for Staphylococcus phage PG-2021_18"
"GCA_021090735.1"	"ASM2109073v1 assembly for Staphylococcus phage PG-2021_19"
"GCA_950288385.1"	"FD01874187 assembly for Shigella sonnei"
"GCA_030767045.1"	"ASM3076704v1 assembly for Pseudomonas aeruginosa"
"GCA_030767085.1"	"ASM3076708v1 assembly for Pseudomonas aeruginosa"
"GCA_009766185.1"	"ASM976618v1 assembly for Escherichia coli O157:H7 str. EDL933"
"GCA_030767195.1"	"ASM3076719v1 assembly for Pseudomonas aeruginosa"
"GCA_018986975.1"	"ASM1898697v1 assembly for uncultured phage"
"GCA_903642115.1"	"ASM90364211v1 assembly for Salmonella phage Se_AO1"
"GCA_903643045.1"	"ASM90364304v1 assembly for Salmonella phage Se_EM1"
"GCA_900116915.1"	"G2 assembly assembly for Bacteriophage sp."
"GCA_900116925.1"	"D3 assembly assembly for Bacteriophage sp."
"GCA_900116955.1"	"G3 assembly assembly for Bacteriophage sp."
"GCA_900116965.1"	"G1 assembly assembly for Bacteriophage sp."
"GCA_900116985.1"	"D2 assembly assembly for Bacteriophage sp."
"GCA_900117005.1"	"D1 assembly assembly for Bacteriophage sp."
"GCA_900117035.1"	"D5 assembly assembly for Bacteriophage sp."
"GCA_900117055.1"	"I2 assembly assembly for Bacteriophage sp."
"GCA_900117065.1"	"I5 assembly assembly for Bacteriophage sp."
"GCA_900117075.1"	"I3 assembly assembly for Bacteriophage sp."
"GCA_900117085.1"	"D4 assembly assembly for Bacteriophage sp."
"GCA_900117095.1"	"I4 assembly assembly for Bacteriophage sp."
"GCA_900117115.1"	"AM-4 assembly assembly for Bacteriophage sp."
"GCA_900117125.1"	"BS-1 assembly assembly for Bacteriophage sp."
"GCA_900117135.1"	"BS-4 assembly assembly for Bacteriophage sp."
"GCA_900117145.1"	"AM-1 assembly assembly for Bacteriophage sp."
"GCA_900117155.1"	"AS-4 assembly assembly for Bacteriophage sp."
"GCA_900117165.1"	"BM-4 assembly assembly for Bacteriophage sp."
"GCA_900117175.1"	"AS-2 assembly assembly for Bacteriophage sp."
"GCA_900117185.1"	"CS-2 assembly assembly for Bacteriophage sp."
"GCA_900117195.1"	"BS-2 assembly assembly for Bacteriophage sp."
"GCA_900117205.1"	"CM-4 assembly assembly for Bacteriophage sp."
"GCA_900117215.1"	"BM-1 assembly assembly for Bacteriophage sp."
"GCA_900117225.1"	"AS-1 assembly assembly for Bacteriophage sp."
"GCA_900117235.1"	"CM-3 assembly assembly for Bacteriophage sp."
"GCA_900117245.1"	"CS-7 assembly assembly for Bacteriophage sp."
"GCA_900117255.1"	"BM-2 assembly assembly for Bacteriophage sp."
"GCA_900117265.1"	"CS-4 assembly assembly for Bacteriophage sp."
"GCA_900327745.1"	"A12-2 assembly for Bacteriophage sp."
"GCA_900291425.1"	"3C03-1.2 assembly for Bacteriophage sp."
"GCA_900291445.1"	"3D01-1.4 assembly for Bacteriophage sp."
"GCA_903644115.1"	"ASM90364411v1 assembly for Salmonella phage Se_EM4"
"GCA_903644125.1"	"ASM90364412v1 assembly for Salmonella phage Se_EM3"
"GCA_900291135.1"	"D12-2.1 assembly for Bacteriophage sp."
"GCA_900291145.1"	"4B09.1 assembly for Bacteriophage sp."
"GCA_900291165.1"	"D12-2.3 assembly for Bacteriophage sp."
"GCA_900291175.1"	"2H11.3 assembly for Bacteriophage sp."
"GCA_900291185.1"	"A11-1.1 assembly for Bacteriophage sp."
"GCA_900291195.1"	"4B09.2 assembly for Bacteriophage sp."
"GCA_900291215.1"	"4B09.3 assembly for Bacteriophage sp."
"GCA_900291235.1"	"G12-2.3 assembly for Bacteriophage sp."
"GCA_900291245.1"	"3C05-2.2 assembly for Bacteriophage sp."
"GCA_900291255.1"	"A11-1.3 assembly for Bacteriophage sp."
"GCA_900291285.1"	"H12-2.2 assembly for Bacteriophage sp."
"GCA_900291295.1"	"G12-2.2 assembly for Bacteriophage sp."
"GCA_900291435.1"	"3D01-1.2 assembly for Bacteriophage sp."
"GCA_900291045.1"	"4E10.1 assembly for Bacteriophage sp."
"GCA_900291055.1"	"4E10.2 assembly for Bacteriophage sp."
"GCA_900291125.1"	"2H11.1 assembly for Bacteriophage sp."
"GCA_900291305.1"	"3C05-2.1 assembly for Bacteriophage sp."
"GCA_900291315.1"	"3G11-2.1 assembly for Bacteriophage sp."
"GCA_900291325.1"	"H12-2.1 assembly for Bacteriophage sp."
"GCA_900291335.1"	"3G11-2.2 assembly for Bacteriophage sp."
"GCA_900291355.1"	"3C05-2.3 assembly for Bacteriophage sp."
"GCA_900291375.1"	"3C03-1.1 assembly for Bacteriophage sp."
"GCA_900291385.1"	"3C03-1.3 assembly for Bacteriophage sp."
"GCA_900291395.1"	"3D01-1.1 assembly for Bacteriophage sp."
"GCA_900117275.1"	"AM-2 assembly assembly for Bacteriophage sp."
"GCA_900117285.1"	"CM-2 assembly assembly for Bacteriophage sp."
"GCA_900149285.1"	"PcyII-10 assembly for Pseudomonas aeruginosa"
"GCA_019443645.1"	"ASM1944364v1 assembly for Mammaliicoccus sciuri"
"GCA_900327445.1"	"2H04.1 assembly for Bacteriophage sp."
"GCA_900327455.1"	"2H04.3 assembly for Bacteriophage sp."
"GCA_900327465.1"	"2H11.2 assembly for Bacteriophage sp."
"GCA_900327475.1"	"4E10.3 assembly for Bacteriophage sp."
"GCA_900327485.1"	"3B09-1.1 assembly for Bacteriophage sp."
"GCA_900327505.1"	"3D01-1.3 assembly for Bacteriophage sp."
"GCA_900327515.1"	"2H04.2 assembly for Bacteriophage sp."
"GCA_900327525.1"	"3G11-2.3 assembly for Bacteriophage sp."
"GCA_900327545.1"	"2H07.2 assembly for Bacteriophage sp."
"GCA_900327565.1"	"2H07.1 assembly for Bacteriophage sp."
"GCA_900327575.1"	"3B09-1.2 assembly for Bacteriophage sp."
"GCA_900327595.1"	"A11-1.2 assembly for Bacteriophage sp."
"GCA_900327765.1"	"D12-2.2 assembly for Bacteriophage sp."
"GCA_900327785.1"	"2H07.3 assembly for Bacteriophage sp."
"GCA_900327795.1"	"G12-2.1 assembly for Bacteriophage sp."
"GCA_000388195.1"	"01.O.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 01.O.05"
"GCA_037938485.1"	"ASM3793848v1 assembly for Pseudomonas aeruginosa"
"GCA_037938495.1"	"ASM3793849v1 assembly for Pseudomonas aeruginosa"
"GCA_037938455.1"	"ASM3793845v1 assembly for Pseudomonas aeruginosa"
"GCA_000388535.1"	"19.F.03 assembly for Salmonella enterica subsp. enterica serovar Agona str. 19.F.03"
"GCA_000388555.1"	"20.H.06 assembly for Salmonella enterica subsp. enterica serovar Agona str. 20.H.06"
"GCA_000388575.1"	"21.H.10 assembly for Salmonella enterica subsp. enterica serovar Agona str. 21.H.10"
"GCA_000388595.1"	"22.H.04 assembly for Salmonella enterica subsp. enterica serovar Agona str. 22.H.04"
"GCA_000388615.1"	"23.F.01 assembly for Salmonella enterica subsp. enterica serovar Agona str. 23.F.01"
"GCA_000388895.1"	"38.O.03 assembly for Salmonella enterica subsp. enterica serovar Agona str. 38.O.03"
"GCA_000388915.1"	"39.O.03 assembly for Salmonella enterica subsp. enterica serovar Agona str. 39.O.03"
"GCA_000388975.1"	"42.E.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 42.E.09"
"GCA_000388995.1"	"43.E.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 43.E.09"
"GCA_000389015.1"	"44.E.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 44.E.09"
"GCA_000389055.1"	"46.E.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 46.E.09"
"GCA_000389075.1"	"48.E.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 48.E.08"
"GCA_000389095.1"	"49.E.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 49.E.09"
"GCA_001890205.1"	"ASM189020v1 assembly for Escherichia coli"
"GCA_001890225.1"	"ASM189022v1 assembly for Escherichia coli"
"GCA_001890245.1"	"ASM189024v1 assembly for Escherichia coli"
"GCA_001890265.1"	"ASM189026v1 assembly for Escherichia coli"
"GCA_001890285.2"	"ASM189028v2 assembly for Escherichia coli"
"GCA_001890285.1"	"ASM189028v1 assembly for Escherichia coli"
"GCA_001890305.1"	"ASM189030v1 assembly for Escherichia coli"
"GCA_001890325.1"	"ASM189032v1 assembly for Escherichia coli"
"GCA_001890345.1"	"ASM189034v1 assembly for Escherichia coli"
"GCA_038106905.1"	"ASM3810690v1 assembly for Staphylococcus argenteus"
"GCA_000389155.1"	"52.F.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 52.F.08"
"GCA_000389175.1"	"53.F.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 53.F.08"
"GCA_000389195.1"	"54.O.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 54.O.08"
"GCA_000389255.1"	"57.A.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 57.A.08"
"GCA_000389275.1"	"58.E.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 58.E.08"
"GCA_000389295.1"	"59.F.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 59.F.08"
"GCA_000389335.1"	"61.O.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 61.O.08"
"GCA_000389375.1"	"63.H.87 assembly for Salmonella enterica subsp. enterica serovar Agona str. 63.H.87"
"GCA_000389395.1"	"64.H.00 assembly for Salmonella enterica subsp. enterica serovar Agona str. 64.H.00"
"GCA_000389435.1"	"66.F.99 assembly for Salmonella enterica subsp. enterica serovar Agona str. 66.F.99"
"GCA_000389495.1"	"69.H.06 assembly for Salmonella enterica subsp. enterica serovar Agona str. 69.H.06"
"GCA_000389535.1"	"71.E.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 71.E.05"
"GCA_000388295.1"	"06.O.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 06.O.05"
"GCA_000388315.1"	"07.O.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 07.O.05"
"GCA_000388335.1"	"08.A.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 08.A.05"
"GCA_000388355.1"	"09.F.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 09.F.08"
"GCA_000388375.1"	"10.A.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 10.A.05"
"GCA_000388395.1"	"11.A.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 11.A.05"
"GCA_000388415.1"	"12.A.06 assembly for Salmonella enterica subsp. enterica serovar Agona str. 12.A.06"
"GCA_000388435.1"	"13.E.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 13.E.05"
"GCA_000388455.1"	"14.E.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 14.E.05"
"GCA_000388475.1"	"15.H.03 assembly for Salmonella enterica subsp. enterica serovar Agona str. 15.H.03"
"GCA_000388495.1"	"17.H.06 assembly for Salmonella enterica subsp. enterica serovar Agona str. 17.H.06"
"GCA_000388515.1"	"18.H.07 assembly for Salmonella enterica subsp. enterica serovar Agona str. 18.H.07"
"GCA_000388635.1"	"24.H.04 assembly for Salmonella enterica subsp. enterica serovar Agona str. 24.H.04"
"GCA_000388655.1"	"26.F.98 assembly for Salmonella enterica subsp. enterica serovar Agona str. 26.F.98"
"GCA_000388675.1"	"27.O.98 assembly for Salmonella enterica subsp. enterica serovar Agona str. 27.O.98"
"GCA_000388695.1"	"28.O.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 28.O.08"
"GCA_000388715.1"	"29.O.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 29.O.08"
"GCA_000388735.1"	"30.H.04 assembly for Salmonella enterica subsp. enterica serovar Agona str. 30.H.04"
"GCA_000388755.1"	"31.H.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 31.H.09"
"GCA_000388775.1"	"32.A.00 assembly for Salmonella enterica subsp. enterica serovar Agona str. 32.A.00"
"GCA_000388795.1"	"33.A.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 33.A.05"
"GCA_000388815.1"	"34.H.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 34.H.09"
"GCA_000388835.1"	"35.H.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 35.H.08"
"GCA_000388855.1"	"36.H.00 assembly for Salmonella enterica subsp. enterica serovar Agona str. 36.H.00"
"GCA_000388875.1"	"37.F.02 assembly for Salmonella enterica subsp. enterica serovar Agona str. 37.F.02"
"GCA_000388935.1"	"41.E.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 41.E.09"
"GCA_000388955.1"	"40.E.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 40.E.08"
"GCA_000389035.1"	"45.E.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 45.E.09"
"GCA_949840565.1"	"MGG02066_1680015488 assembly for uncultured Dorea sp."
"GCA_949841055.1"	"MGG02176_1680015434 assembly for uncultured Oscillospiraceae bacterium"
"GCA_038104935.1"	"ASM3810493v1 assembly for Staphylococcus argenteus"
"GCA_000389115.1"	"50.E.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 50.E.08"
"GCA_000389135.1"	"51.E.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 51.E.09"
"GCA_000389215.1"	"55.U.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 55.U.08"
"GCA_000389235.1"	"56.O.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 56.O.08"
"GCA_000389315.1"	"60.O.08 assembly for Salmonella enterica subsp. enterica serovar Agona str. 60.O.08"
"GCA_000389355.1"	"62.H.72 assembly for Salmonella enterica subsp. enterica serovar Agona str. 62.H.72"
"GCA_000389415.1"	"65.H.72 assembly for Salmonella enterica subsp. enterica serovar Agona str. 65.H.72"
"GCA_000389455.1"	"67.H.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 67.H.09"
"GCA_000389475.1"	"68.U.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 68.U.05"
"GCA_000389515.1"	"70.E.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 70.E.05"
"GCA_000389555.1"	"72.A.52 assembly for Salmonella enterica subsp. enterica serovar Agona str. 72.A.52"
"GCA_000389575.1"	"73.H.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 73.H.09"
"GCA_949841335.1"	"MGG02576_1680015450 assembly for uncultured Acetatifactor sp."
"GCA_949841345.1"	"MGG02445_1680015409 assembly for uncultured Lachnospiraceae bacterium"
"GCA_949841415.1"	"MGG02074_1680015456 assembly for uncultured Lachnospiraceae bacterium"
"GCA_949841565.1"	"MGG02647_1680015473 assembly for uncultured Muribaculaceae bacterium"
"GCA_949840595.1"	"MGG02528_1680015497 assembly for Lactococcus lactis"
"GCA_949840635.1"	"MGG02342_1680015412 assembly for uncultured Lachnospiraceae bacterium"
"GCA_949840895.1"	"MGG02437_1680015423 assembly for uncultured Eubacterium sp."
"GCA_949841175.1"	"MGG02580_1680015413 assembly for uncultured Acetatifactor sp."
"GCA_949841195.1"	"MGG02196_1680015433 assembly for uncultured Lachnospiraceae bacterium"
"GCA_949841315.1"	"MGG02155_1680015429 assembly for uncultured Alistipes sp."
"GCA_949841735.1"	"MGG02150_1680015434 assembly for uncultured Dorea sp."
"GCA_000604425.1"	"47.E.09 assembly for Salmonella enterica subsp. enterica serovar Agona str. 47.E.09"
"GCA_001050855.1"	"ASM105085v1 assembly for Salmonella enterica subsp. enterica serovar Agona str. 16.H.08"
"GCA_000388215.1"	"02.O.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 02.O.05"
"GCA_000388235.1"	"03.O.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 03.O.05"
"GCA_000388255.1"	"04.O.05 assembly for Salmonella enterica subsp. enterica serovar Agona str. 04.O.05"
"GCA_000388275.1"	"05.O.06 assembly for Salmonella enterica subsp. enterica serovar Agona str. 05.O.06"
"GCA_003045815.1"	"ASM304581v1 assembly for freshwater metagenome"
"GCA_008586845.1"	"ASM858684v1 assembly for Chlorobium phaeovibrioides"
"GCA_900491955.1"	"WEC long-read assembly assembly for metagenome"
"GCA_900491965.1"	"WEC_short_assembly assembly for metagenome"
"GCA_900491975.1"	"WEC_hybrid_assembly assembly for metagenome"
"GCA_008634005.1"	"ASM863400v1 assembly for Chlorobium phaeovibrioides"
"GCA_019823025.1"	"ASM1982302v1 assembly for Methylophilales bacterium"
"GCA_023647265.1"	"ASM2364726v1 assembly for Staphylococcus aureus"
"GCA_023647285.1"	"ASM2364728v1 assembly for Escherichia coli"
"GCA_023647315.1"	"ASM2364731v1 assembly for Enterococcus faecium"
"GCA_023647325.1"	"ASM2364732v1 assembly for Klebsiella pneumoniae"
"GCA_023647335.1"	"ASM2364733v1 assembly for Staphylococcus aureus"
"GCA_023647375.1"	"ASM2364737v1 assembly for Staphylococcus aureus"
"GCA_023647395.1"	"ASM2364739v1 assembly for Klebsiella pneumoniae"
"GCA_023647415.1"	"ASM2364741v1 assembly for Escherichia coli"
"GCA_023647425.1"	"ASM2364742v1 assembly for Klebsiella pneumoniae"
"GCA_023647455.1"	"ASM2364745v1 assembly for Staphylococcus aureus"
"GCA_023647475.1"	"ASM2364747v1 assembly for Escherichia coli"
"GCA_023647495.1"	"ASM2364749v1 assembly for Klebsiella aerogenes"
"GCA_023647505.1"	"ASM2364750v1 assembly for Enterobacter hormaechei"
"GCA_023647515.1"	"ASM2364751v1 assembly for Escherichia coli"
"GCA_023647245.1"	"ASM2364724v1 assembly for Klebsiella pneumoniae"
"GCA_023647235.1"	"ASM2364723v1 assembly for Pseudomonas aeruginosa"
"GCA_905186095.1"	"Phascolarctobacterium canine HQ MAG assembly for uncultured Phascolarctobacterium sp."
"GCA_905186105.1"	"Sutterella canine HQ MAG assembly for uncultured Sutterella sp."
"GCA_905186125.1"	"Prevotellamassilia canine HQ MAG assembly for uncultured Prevotellamassilia sp."
"GCA_905186135.1"	"ASM90518613v1 assembly for Blautia argi"
"GCA_905186145.1"	"Succinivibrio canine HQ MAG assembly for uncultured Succinivibrio sp."
"GCA_905186115.1"	"Enterococcus hirae canine HQ MAG assembly for Enterococcus hirae ATCC 9790"
"GCA_905186155.1"	"Blautia sp. canine HQ MAG assembly for uncultured Blautia sp."
"GCA_905186165.1"	"Catenibacterium canine HQ MAG assembly for Catenibacterium sp. co_0103"
